x, y
0.4006928406466513, 0.3351749539594843
0.42609699769053117, 0.3867403314917127
0.4607390300230947, 0.5156537753222836
0.4907621247113164, 0.6574585635359116
0.523094688221709, 0.7992633517495396
0.5554272517321016, 1.01841620626151
0.5900692840646651, 1.2246777163904237
0.6247113163972287, 1.4696132596685083
0.6581986143187066, 1.7661141804788214
0.6905311778290993, 2.088397790055249
0.7286374133949192, 2.4751381215469612
0.7621247113163973, 2.848987108655617
0.7979214780600462, 3.313075506445672
0.8337182448036952, 3.8158379373848987
0.9041570438799076, 4.898710865561695
0.9353348729792148, 5.440147329650092
0.9572748267898383, 5.801104972375691
0.9745958429561201, 6.046040515653775
0.9907621247113164, 6.342541436464089
1.0011547344110854, 6.626151012891344
