x, y
0.42713114754098364, 0.08488745980707396
0.45959016393442625, 0.10546623794212219
0.4898360655737705, 0.1234726688102894
0.5215573770491804, 0.1517684887459807
0.554016393442623, 0.177491961414791
0.5864754098360656, 0.2135048231511254
0.6211475409836066, 0.2469453376205788
0.6565573770491804, 0.28038585209003214
0.689016393442623, 0.32282958199356915
0.7244262295081967, 0.35884244372990354
0.7598360655737705, 0.4
0.7952459016393443, 0.4437299035369775
0.8299180327868853, 0.4887459807073955
0.8631147540983607, 0.527331189710611
0.9007377049180327, 0.569774919614148
0.9309836065573771, 0.6083601286173633
0.9538524590163935, 0.6302250803858521
0.9678688524590164, 0.6469453376205788
0.9767213114754099, 0.6572347266881029
0.9840983606557376, 0.664951768488746
0.9892622950819672, 0.670096463022508
0.9936885245901639, 0.6765273311897106
0.9981147540983606, 0.6816720257234726
