x, y
0.42335526315789473, 0.09699570815450642
0.4566611842105263, 0.12145922746781115
0.4877467105263158, 0.1497854077253219
0.5195723684210527, 0.1793991416309013
0.5521381578947369, 0.21158798283261804
0.5869243421052632, 0.2502145922746781
0.6202302631578948, 0.2927038626609442
0.6898026315789474, 0.3802575107296138
0.655016447368421, 0.33390557939914167
0.7238486842105263, 0.42918454935622324
0.7586348684210527, 0.4781115879828327
0.7941611842105263, 0.5296137339055795
0.8289473684210527, 0.5811158798283262
0.8644736842105263, 0.6326180257510731
0.8985197368421053, 0.6815450643776826
0.9303453947368421, 0.7253218884120174
0.9532894736842106, 0.7562231759656655
0.9673519736842107, 0.7819742489270387
0.9784539473684211, 0.7948497854077254
0.9851151315789475, 0.8051502145922749
0.9910361842105264, 0.8115879828326182
0.9976973684210526, 0.8206008583690989
1.000657894736842, 0.8244635193133047
1.000657894736842, 0.8244635193133047
